,dia_semana,horario,mortos,causa_acidente,municipio,tipo_veiculo
17649,sábado,14:30:00,0,Trafegar com motocicleta (ou similar) entre as faixas,BALNEARIO CAMBORIU,Camioneta
17650,sábado,12:35:00,0,Ausência de reação do condutor,BRUNOPOLIS,Utilitário
17651,sábado,12:35:00,0,Ausência de reação do condutor,BRUNOPOLIS,Utilitário
17652,sábado,12:35:00,0,Ausência de reação do condutor,BRUNOPOLIS,Utilitário
17653,sábado,15:00:00,0,Ausência de reação do condutor,FLORIANOPOLIS,Automóvel
17654,sábado,15:00:00,0,Ausência de reação do condutor,FLORIANOPOLIS,Automóvel
17655,sábado,15:00:00,0,Ausência de reação do condutor,FLORIANOPOLIS,Motocicleta
17656,sábado,15:00:00,0,Ausência de reação do condutor,FLORIANOPOLIS,Automóvel
17657,sábado,16:10:00,0,Reação tardia ou ineficiente do condutor,BALNEARIO PICARRAS,Automóvel
17658,sábado,16:10:00,0,Reação tardia ou ineficiente do condutor,BALNEARIO PICARRAS,Motocicleta
17659,sábado,16:10:00,0,Ausência de reação do condutor,PORTO BELO,Motocicleta
17660,sábado,18:00:00,0,Velocidade Incompatível,BALNEARIO PICARRAS,Motocicleta
17661,sábado,18:20:00,0,Trafegar com motocicleta (ou similar) entre as faixas,FLORIANOPOLIS,Automóvel
17662,sábado,18:20:00,0,Trafegar com motocicleta (ou similar) entre as faixas,FLORIANOPOLIS,Motoneta
17663,sábado,19:00:00,0,Avarias e/ou desgaste excessivo no pneu,BALNEARIO CAMBORIU,Motocicleta
17664,sábado,18:55:00,0,Demais falhas mecânicas ou elétricas,SAO JOAO DO SUL,Motoneta
17665,sábado,18:55:00,0,Demais falhas mecânicas ou elétricas,SAO JOAO DO SUL,Motoneta
17666,sábado,21:30:00,0,Retorno proibido,BLUMENAU,Motoneta
17667,sábado,21:30:00,0,Retorno proibido,BLUMENAU,Motocicleta
17668,sábado,21:30:00,0,Ingestão de álcool pelo condutor,PONTE ALTA,Automóvel
17669,sábado,21:30:00,0,Ingestão de álcool pelo condutor,PONTE ALTA,Automóvel
17670,sábado,21:30:00,0,Ingestão de álcool pelo condutor,PONTE ALTA,Automóvel
17671,sábado,21:30:00,0,Ingestão de álcool pelo condutor,PONTE ALTA,Automóvel
17672,sábado,22:20:00,0,Pedestre cruzava a pista fora da faixa,POUSO REDONDO,Automóvel
17673,sábado,22:20:00,0,Pedestre cruzava a pista fora da faixa,POUSO REDONDO,
17674,sábado,20:00:00,0,Ingestão de álcool pelo condutor,APIUNA,Automóvel
17675,domingo,01:20:00,0,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,PALHOCA,Automóvel
17676,domingo,01:20:00,0,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,PALHOCA,Automóvel
17677,sábado,19:15:00,0,Ausência de reação do condutor,CHAPECO,Automóvel
17678,domingo,12:00:00,0,Reação tardia ou ineficiente do condutor,GARUVA,Automóvel
17679,domingo,12:00:00,0,Reação tardia ou ineficiente do condutor,GARUVA,Automóvel
17680,domingo,12:00:00,0,Reação tardia ou ineficiente do condutor,GARUVA,Automóvel
17681,domingo,12:00:00,0,Reação tardia ou ineficiente do condutor,GARUVA,Automóvel
17682,domingo,12:00:00,0,Reação tardia ou ineficiente do condutor,GARUVA,Automóvel
17683,domingo,13:40:00,0,Mal súbito do condutor,SAO JOSE,Motocicleta
17684,domingo,13:40:00,0,Mal súbito do condutor,SAO JOSE,Motocicleta
17685,domingo,16:10:00,0,Reação tardia ou ineficiente do condutor,ITAJAI,Motocicleta
17686,domingo,17:00:00,0,Reação tardia ou ineficiente do condutor,FLORIANOPOLIS,Motocicleta
17687,domingo,17:00:00,0,Reação tardia ou ineficiente do condutor,FLORIANOPOLIS,Motocicleta
17688,domingo,18:25:00,0,Manobra de mudança de faixa,PALHOCA,Motocicleta
17689,domingo,18:25:00,0,Manobra de mudança de faixa,PALHOCA,Automóvel
17690,domingo,17:44:00,0,Reação tardia ou ineficiente do condutor,PONTE ALTA DO NORTE,Motocicleta
17691,domingo,17:44:00,0,Reação tardia ou ineficiente do condutor,PONTE ALTA DO NORTE,Motocicleta
17692,domingo,18:20:00,0,Conversão proibida,CONCORDIA,Automóvel
